      |             AstroTwilight |  NautTwilight  |      Moon      | 
 Date |       Start     End |  Start     End |     Rise     Set |         CH 
2019-04-01    19:21    04:54   18:53    05:22     16:05       16:05    0.733    
2019-04-02    19:19    04:55   18:51    05:23     16:39       16:39    0.819    
2019-04-03    19:18    04:55   18:50    05:23     17:11       17:11    0.896    
2019-04-04    19:17    04:56   18:49    05:24     17:42       17:42    0.915    
2019-04-05    19:16    04:57   18:48    05:25     18:13       18:13    0.915    
2019-04-06    19:15    04:57   18:46    05:25     18:45       18:45    0.915    
2019-04-07    19:13    04:58   18:45    05:26     19:19       19:19    0.897    
2019-04-08    19:12    04:58   18:44    05:27     19:56       19:56    0.85    
2019-04-09    19:11    04:59   18:43    05:27     20:36       20:36    0.785    
2019-04-10    19:10    05:00   18:42    05:28     21:23       21:23    0.704    
2019-04-11    19:09    05:00   18:41    05:28     22:14       22:14    0.63    
2019-04-12    19:08    05:01   18:40    05:29     23:12       23:12    0.537    
2019-04-13    19:07    05:02   18:38    05:30     13:28     (00:15)    0.44    
2019-04-14    19:05    05:02   18:37    05:30     14:19     (01:20)    0.339    
2019-04-15    19:04    05:03   18:36    05:31     15:06     (02:28)    0.239    
2019-04-16    19:03    05:03   18:35    05:31     15:49     (03:35)    0.138    
2019-04-17    19:02    05:04   18:34    05:32     16:29     (04:42)    0.027    
2019-04-18    19:01    05:04   18:33    05:33     17:07     (05:49)    0.0    
2019-04-19    19:00    05:05   18:32    05:33     17:45     (06:54)    0.0    
2019-04-20    18:59    05:06   18:31    05:34     18:23     (07:59)    0.0    
2019-04-21    18:58    05:06   18:30    05:34     19:04     (09:03)    0.009    
2019-04-22    18:57    05:07   18:29    05:35     19:47     (10:04)    0.081    
2019-04-23    18:56    05:07   18:28    05:36     20:33     (11:01)    0.144    
2019-04-24    18:55    05:08   18:27    05:36     21:22     (11:54)    0.214    
2019-04-25    18:54    05:08   18:26    05:37     22:13     (12:42)    0.295    
2019-04-26    18:53    05:09   18:25    05:37     12:42       12:42    0.375    
2019-04-27    18:53    05:10   18:24    05:38     13:25       13:25    0.455    
2019-04-28    18:52    05:10   18:23    05:39     14:04       14:04    0.531    
2019-04-29    18:51    05:11   18:22    05:39     14:39       14:39    0.611    
2019-04-30    18:50    05:11   18:22    05:40     15:12       15:12    0.699    
