
May_2020.txt
 -----------------------------------------------------------------------------
       |       AstroTwilight |  NautTwilight  |          Moon        | 
 Date |       Start     End |  Start     End |     Rise        Set |   CH 
-------------------------------------------------------------------------------
2020-05-01    18:49    05:12   18:20    05:41     13:25     (00:20)    0.434    
2020-05-02    18:48    05:13   18:19    05:41     14:09     (01:26)    0.333    
2020-05-03    18:47    05:13   18:19    05:42     14:49     (02:34)    0.228    
2020-05-04    18:46    05:14   18:18    05:43     15:26     (03:42)    0.14    
2020-05-05    18:46    05:15   18:17    05:43     16:03     (04:50)    0.035    
2020-05-06    18:45    05:15   18:16    05:44     16:41     (06:00)    0.0    
2020-05-07    18:44    05:16   18:16    05:44     17:21     (07:11)    0.0    
2020-05-08    18:44    05:16   18:15    05:45     18:04     (08:21)    0.0    
2020-05-09    18:43    05:17   18:14    05:45     18:51     (09:28)    0.017    
2020-05-10    18:42    05:17   18:14    05:46     19:44     (10:30)    0.087    
2020-05-11    18:42    05:18   18:13    05:47     20:40     (11:26)    0.172    
2020-05-12    18:41    05:18   18:12    05:47     21:38     (12:14)    0.25    
2020-05-13    18:41    05:19   18:12    05:48     22:37     (12:55)    0.336    
2020-05-14    18:40    05:19   18:11    05:48     12:55       12:55    0.431    
2020-05-15    18:39    05:20   18:11    05:49     13:32       13:32    0.509    
2020-05-16    18:39    05:21   18:10    05:49     14:04       14:04    0.581    
2020-05-17    18:39    05:21   18:10    05:50     14:34       14:34    0.658    
2020-05-18    18:38    05:22   18:09    05:51     15:02       15:02    0.726    
2020-05-19    18:38    05:22   18:09    05:51     15:30       15:30    0.803    
2020-05-20    18:37    05:23   18:08    05:52     15:59       15:59    0.889    
2020-05-21    18:37    05:23   18:08    05:52     16:30       16:30    0.923    
2020-05-22    18:36    05:24   18:07    05:53     17:04       17:04    0.915    
2020-05-23    18:36    05:24   18:07    05:53     17:42       17:42    0.915    
2020-05-24    18:36    05:25   18:07    05:54     18:26       18:26    0.915    
2020-05-25    18:36    05:25   18:06    05:54     19:15       19:15    0.856    
2020-05-26    18:35    05:26   18:06    05:55     20:10       20:10    0.78    
2020-05-27    18:35    05:26   18:06    05:55     21:10       21:10    0.703    
2020-05-28    18:35    05:27   18:06    05:56     22:13       22:13    0.619    
2020-05-29    18:35    05:27   18:05    05:56     23:17       23:17    0.521    
2020-05-30    18:34    05:28   18:05    05:57     12:48     (00:22)    0.429    
2020-05-31    18:34    05:28   18:05    05:57     13:25     (01:27)    0.336    

May_2020.txt
 -----------------------------------------------------------------------------
       |       AstroTwilight |  NautTwilight  |          Moon        | 
 Date |       Start     End |  Start     End |     Rise        Set |   CH 
-------------------------------------------------------------------------------
2020-05-01    18:49    05:12   18:20    05:41     13:25     (00:20)    0.434    
2020-05-02    18:48    05:13   18:19    05:41     14:09     (01:26)    0.333    
2020-05-03    18:47    05:13   18:19    05:42     14:49     (02:34)    0.228    
2020-05-04    18:46    05:14   18:18    05:43     15:26     (03:42)    0.14    
2020-05-05    18:46    05:15   18:17    05:43     16:03     (04:50)    0.035    
2020-05-06    18:45    05:15   18:16    05:44     16:41     (06:00)    0.0    
2020-05-07    18:44    05:16   18:16    05:44     17:21     (07:11)    0.0    
2020-05-08    18:44    05:16   18:15    05:45     18:04     (08:21)    0.0    
2020-05-09    18:43    05:17   18:14    05:45     18:51     (09:28)    0.017    
2020-05-10    18:42    05:17   18:14    05:46     19:44     (10:30)    0.087    
2020-05-11    18:42    05:18   18:13    05:47     20:40     (11:26)    0.172    
2020-05-12    18:41    05:18   18:12    05:47     21:38     (12:14)    0.25    
2020-05-13    18:41    05:19   18:12    05:48     22:37     (12:55)    0.336    
2020-05-14    18:40    05:19   18:11    05:48     12:55       12:55    0.431    
2020-05-15    18:39    05:20   18:11    05:49     13:32       13:32    0.509    
2020-05-16    18:39    05:21   18:10    05:49     14:04       14:04    0.581    
2020-05-17    18:39    05:21   18:10    05:50     14:34       14:34    0.658    
2020-05-18    18:38    05:22   18:09    05:51     15:02       15:02    0.726    
2020-05-19    18:38    05:22   18:09    05:51     15:30       15:30    0.803    
2020-05-20    18:37    05:23   18:08    05:52     15:59       15:59    0.889    
2020-05-21    18:37    05:23   18:08    05:52     16:30       16:30    0.923    
2020-05-22    18:36    05:24   18:07    05:53     17:04       17:04    0.915    
2020-05-23    18:36    05:24   18:07    05:53     17:42       17:42    0.915    
2020-05-24    18:36    05:25   18:07    05:54     18:26       18:26    0.915    
2020-05-25    18:36    05:25   18:06    05:54     19:15       19:15    0.856    
2020-05-26    18:35    05:26   18:06    05:55     20:10       20:10    0.78    
2020-05-27    18:35    05:26   18:06    05:55     21:10       21:10    0.703    
2020-05-28    18:35    05:27   18:06    05:56     22:13       22:13    0.619    
2020-05-29    18:35    05:27   18:05    05:56     23:17       23:17    0.521    
2020-05-30    18:34    05:28   18:05    05:57     12:48     (00:22)    0.429    
2020-05-31    18:34    05:28   18:05    05:57     13:25     (01:27)    0.336    
